City_ID,City,Country,Max Temp (F),Current Description,Lat,Lng,Hotel Name
638,Port Moresby,PG,80.17,overcast clouds,-9.4431,147.1797,Lamana Hotel (Port Moresby)
640,Nouakchott,MR,82.33,few clouds,18.0858,-15.9785,HOTEL IMAN فندق إيمان
643,Sangre Grande,TT,79.05,scattered clouds,10.5835,-61.1177,Lotus drive
647,Black River,JM,77.99,broken clouds,18.0264,-77.8487,Idlers' Rest Beach Hotel
655,Eatonton,US,75.78,overcast clouds,33.3268,-83.3885,Western Motel of Eatonton
656,Phuket,TH,79.02,moderate rain,8.0,98.25,The Surin
657,Natchitoches,US,73.2,clear sky,31.7668,-93.1335,Super 8 by Wyndham Natchitoches
658,Lipari,IT,79.56,clear sky,38.4674,14.954,Hotel Villa Diana Soc. Clelia Hunziker s.a.s.
659,Manadhoo,MV,82.33,scattered clouds,5.7667,73.3833,Vevu Guesthouse
662,University Park,US,82.0,overcast clouds,25.7465,-80.3676,Travel Mex
663,Karwar,IN,78.67,overcast clouds,14.8,74.1333,Netalco Connects
664,Dhidhdhoo,MV,82.38,overcast clouds,6.8833,73.1,Dhidhoo beach
666,Palāsa,IN,82.2,overcast clouds,18.7667,84.4167,Balaji tifen & meals veg & non veg hotel
667,Acaraú,BR,78.21,few clouds,-2.8856,-40.12,castelo pizzaria
669,Rio Branco,BR,79.45,broken clouds,-9.9747,-67.81,Inácio Palace Hotel
671,Morant Bay,JM,76.62,broken clouds,17.8815,-76.4093,Whispering Bamboo Cove Resort
672,Digha,IN,76.84,moderate rain,21.6833,87.55,Khoniker Atithi
677,Kashgar,CN,78.08,clear sky,39.4547,75.9797,帕米尔青年旅舍
680,Saint-Georges,GF,73.13,broken clouds,3.9,-51.8,Hébergement l'Oyamac
681,Sítio Novo do Tocantins,BR,80.74,few clouds,-5.5183,-47.4611,Imperial Hotel
